HeadwayId,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
12,3/1/2014,500,22,Outbound,4231913,4231774,Blue Hill Ave @ Angell St,15,16,-1,,,,,1,
12,3/1/2014,505,22,Outbound,4231913,4231774,Talbot Ave @ Lithgow St,16,16,0,,,,,0,
12,3/1/2014,507,22,Outbound,4231913,4231774,Ashmont Station,16,16,0,,,,,0,
13,3/1/2014,501,22,Outbound,4231774,4231843,Ruggles Station - Lane 1,13,16,-3,,,,,3,
13,3/1/2014,503,22,Outbound,4231774,4231843,Tremont St @ Roxbury Crossing Station,17,16,1,,,,,1,
13,3/1/2014,505,22,Outbound,4231774,4231843,Jackson Sq Station @ Orange Line,17,16,1,,,,,1,
13,3/1/2014,508,22,Outbound,4231774,4231843,Columbus Ave @ Washington St,17,16,1,,,,,1,
13,3/1/2014,510,22,Outbound,4231774,4231843,Seaver St opp Humboldt Ave,18,16,2,,,,,2,
13,3/1/2014,511,22,Outbound,4231774,4231843,Seaver St opp Maple St,18,16,2,,,,,2,
13,3/1/2014,516,22,Outbound,4231774,4231843,Blue Hill Ave @ Angell St,19,16,3,,,,,3,
13,3/1/2014,521,22,Outbound,4231774,4231843,Talbot Ave @ Lithgow St,19,16,3,,,,,3,
13,3/1/2014,523,22,Outbound,4231774,4231843,Ashmont Station,20,16,4,,,,,4,
14,3/1/2014,517,22,Outbound,4231843,4231869,Ruggles Station - Lane 1,21,16,5,,,,,5,
14,3/1/2014,519,22,Outbound,4231843,4231869,Tremont St @ Roxbury Crossing Station,17,16,1,,,,,1,
14,3/1/2014,521,22,Outbound,4231843,4231869,Jackson Sq Station @ Orange Line,18,16,2,,,,,2,
14,3/1/2014,524,22,Outbound,4231843,4231869,Columbus Ave @ Washington St,17,16,1,,,,,1,
14,3/1/2014,526,22,Outbound,4231843,4231869,Seaver St opp Humboldt Ave,18,16,2,,,,,2,
14,3/1/2014,527,22,Outbound,4231843,4231869,Seaver St opp Maple St,17,16,1,,,,,1,
14,3/1/2014,532,22,Outbound,4231843,4231869,Blue Hill Ave @ Angell St,17,16,1,,,,,1,
14,3/1/2014,537,22,Outbound,4231843,4231869,Talbot Ave @ Lithgow St,16,16,0,,,,,0,
14,3/1/2014,539,22,Outbound,4231843,4231869,Ashmont Station,16,16,0,,,,,0,
15,3/1/2014,533,22,Outbound,4231869,4231915,Ruggles Station - Lane 1,15,16,-1,,,,,1,
15,3/1/2014,535,22,Outbound,4231869,4231915,Tremont St @ Roxbury Crossing Station,16,16,0,,,,,0,
15,3/1/2014,537,22,Outbound,4231869,4231915,Jackson Sq Station @ Orange Line,15,16,-1,,,,,1,
15,3/1/2014,540,22,Outbound,4231869,4231915,Columbus Ave @ Washington St,16,16,0,,,,,0,
15,3/1/2014,542,22,Outbound,4231869,4231915,Seaver St opp Humboldt Ave,16,16,0,,,,,0,
15,3/1/2014,543,22,Outbound,4231869,4231915,Seaver St opp Maple St,16,16,0,,,,,0,
15,3/1/2014,548,22,Outbound,4231869,4231915,Blue Hill Ave @ Angell St,16,16,0,,,,,0,
15,3/1/2014,553,22,Outbound,4231869,4231915,Talbot Ave @ Lithgow St,19,16,3,,,,,3,
15,3/1/2014,555,22,Outbound,4231869,4231915,Ashmont Station,19,16,3,,,,,3,
16,3/1/2014,549,22,Outbound,4231915,4231845,Ruggles Station - Lane 1,24,32,-8,,,,,8,
16,3/1/2014,551,22,Outbound,4231915,4231845,Tremont St @ Roxbury Crossing Station,30,32,-2,,,,,2,
16,3/1/2014,553,22,Outbound,4231915,4231845,Jackson Sq Station @ Orange Line,31,33,-2,,,,,2,
16,3/1/2014,556,22,Outbound,4231915,4231845,Columbus Ave @ Washington St,32,33,-1,,,,,1,
16,3/1/2014,558,22,Outbound,4231915,4231845,Seaver St opp Humboldt Ave,32,34,-2,,,,,2,
16,3/1/2014,559,22,Outbound,4231915,4231845,Seaver St opp Maple St,33,34,-1,,,,,1,
16,3/1/2014,564,22,Outbound,4231915,4231845,Blue Hill Ave @ Angell St,34,35,-1,,,,,1,
16,3/1/2014,569,22,Outbound,4231915,4231845,Talbot Ave @ Lithgow St,36,36,0,,,,,0,
16,3/1/2014,571,22,Outbound,4231915,4231845,Ashmont Station,36,36,0,,,,,0,
17,3/1/2014,607,22,Outbound,4231845,4231776,Ashmont Station,-11,-17,6,,,,,6,
18,3/1/2014,590,22,Outbound,4231776,4231871,Ashmont Station,34,33,1,,,,,1,
19,3/1/2014,597,22,Outbound,4231871,4231917,Ruggles Station - Lane 1,13,16,-3,,,,,3,
19,3/1/2014,599,22,Outbound,4231871,4231917,Tremont St @ Roxbury Crossing Station,13,16,-3,,,,,3,
19,3/1/2014,602,22,Outbound,4231871,4231917,Jackson Sq Station @ Orange Line,12,16,-4,,,,,4,
19,3/1/2014,605,22,Outbound,4231871,4231917,Columbus Ave @ Washington St,11,16,-5,,,,,5,
19,3/1/2014,608,22,Outbound,4231871,4231917,Seaver St opp Humboldt Ave,10,16,-6,,,,,6,
19,3/1/2014,609,22,Outbound,4231871,4231917,Seaver St opp Maple St,10,16,-6,,,,,6,
19,3/1/2014,615,22,Outbound,4231871,4231917,Blue Hill Ave @ Angell St,7,16,-9,,,,,9,
19,3/1/2014,621,22,Outbound,4231871,4231917,Talbot Ave @ Lithgow St,6,16,-10,,,,,10,
19,3/1/2014,623,22,Outbound,4231871,4231917,Ashmont Station,7,16,-9,,,,,9,
20,3/1/2014,613,22,Outbound,4231917,4231778,Ruggles Station - Lane 1,18,16,2,,,,,2,
20,3/1/2014,615,22,Outbound,4231917,4231778,Tremont St @ Roxbury Crossing Station,14,16,-2,,,,,2,
20,3/1/2014,618,22,Outbound,4231917,4231778,Jackson Sq Station @ Orange Line,13,16,-3,,,,,3,
