HeadwayId,ServiceDate,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
16,3/1/2014,476,57,Inbound,4236164,4236261,Washington St @ Bacon St,11,10,1,,,,,1,
16,3/1/2014,479,57,Inbound,4236164,4236261,Tremont St @ Washington St,10,10,0,,,,,0,
16,3/1/2014,484,57,Inbound,4236164,4236261,Washington St @ Chestnut Hill Ave,11,10,1,,,,,1,
16,3/1/2014,488,57,Inbound,4236164,4236261,Brighton Ave @ Cambridge St,10,10,0,,,,,0,
16,3/1/2014,492,57,Inbound,4236164,4236261,Brighton Ave @ Comm Ave,11,10,1,,,,,1,
16,3/1/2014,497,57,Inbound,4236164,4236261,Commonwealth Ave @ Carlton St,9,10,-1,,,,,1,
16,3/1/2014,501,57,Inbound,4236164,4236261,Kenmore Station Busway,10,10,0,,,,,0,
17,3/1/2014,485,57,Inbound,4236261,4236291,Watertown Yard,7,10,-3,,,,,3,
17,3/1/2014,486,57,Inbound,4236261,4236291,Washington St @ Bacon St,8,10,-2,,,,,2,
17,3/1/2014,489,57,Inbound,4236261,4236291,Tremont St @ Washington St,8,10,-2,,,,,2,
17,3/1/2014,494,57,Inbound,4236261,4236291,Washington St @ Chestnut Hill Ave,9,10,-1,,,,,1,
17,3/1/2014,498,57,Inbound,4236261,4236291,Brighton Ave @ Cambridge St,9,10,-1,,,,,1,
17,3/1/2014,502,57,Inbound,4236261,4236291,Brighton Ave @ Comm Ave,9,10,-1,,,,,1,
17,3/1/2014,507,57,Inbound,4236261,4236291,Commonwealth Ave @ Carlton St,9,10,-1,,,,,1,
17,3/1/2014,511,57,Inbound,4236261,4236291,Kenmore Station Busway,8,10,-2,,,,,2,
18,3/1/2014,495,57,Inbound,4236291,4236337,Watertown Yard,17,10,7,,,,,7,
18,3/1/2014,496,57,Inbound,4236291,4236337,Washington St @ Bacon St,10,10,0,,,,,0,
18,3/1/2014,499,57,Inbound,4236291,4236337,Tremont St @ Washington St,10,10,0,,,,,0,
18,3/1/2014,504,57,Inbound,4236291,4236337,Washington St @ Chestnut Hill Ave,9,10,-1,,,,,1,
18,3/1/2014,508,57,Inbound,4236291,4236337,Brighton Ave @ Cambridge St,8,10,-2,,,,,2,
18,3/1/2014,512,57,Inbound,4236291,4236337,Brighton Ave @ Comm Ave,7,10,-3,,,,,3,
18,3/1/2014,517,57,Inbound,4236291,4236337,Commonwealth Ave @ Carlton St,8,10,-2,,,,,2,
18,3/1/2014,521,57,Inbound,4236291,4236337,Kenmore Station Busway,9,10,-1,,,,,1,
19,3/1/2014,505,57,Inbound,4236337,4236040,Watertown Yard,16,10,6,,,,,6,
19,3/1/2014,506,57,Inbound,4236337,4236040,Washington St @ Bacon St,17,10,7,,,,,7,
19,3/1/2014,509,57,Inbound,4236337,4236040,Tremont St @ Washington St,17,10,7,,,,,7,
19,3/1/2014,514,57,Inbound,4236337,4236040,Washington St @ Chestnut Hill Ave,19,10,9,,,,,9,
19,3/1/2014,518,57,Inbound,4236337,4236040,Brighton Ave @ Cambridge St,22,10,12,,,,,12,
19,3/1/2014,522,57,Inbound,4236337,4236040,Brighton Ave @ Comm Ave,23,10,13,,,,,13,
19,3/1/2014,527,57,Inbound,4236337,4236040,Commonwealth Ave @ Carlton St,25,10,15,,,,,15,
19,3/1/2014,531,57,Inbound,4236337,4236040,Kenmore Station Busway,25,10,15,,,,,15,
20,3/1/2014,516,57,Inbound,4236040,4236104,Washington St @ Bacon St,7,10,-3,,,,,3,
20,3/1/2014,519,57,Inbound,4236040,4236104,Tremont St @ Washington St,6,10,-4,,,,,4,
20,3/1/2014,524,57,Inbound,4236040,4236104,Washington St @ Chestnut Hill Ave,3,10,-7,,,,,7,
20,3/1/2014,528,57,Inbound,4236040,4236104,Brighton Ave @ Cambridge St,1,10,-9,,,,,9,
20,3/1/2014,532,57,Inbound,4236040,4236104,Brighton Ave @ Comm Ave,0,10,-10,,,,,10,
20,3/1/2014,537,57,Inbound,4236040,4236104,Commonwealth Ave @ Carlton St,-2,10,-12,,,,,12,
20,3/1/2014,541,57,Inbound,4236040,4236104,Kenmore Station Busway,-2,10,-12,,,,,12,
21,3/1/2014,526,57,Inbound,4236104,4236166,Washington St @ Bacon St,9,10,-1,,,,,1,
21,3/1/2014,529,57,Inbound,4236104,4236166,Tremont St @ Washington St,10,10,0,,,,,0,
21,3/1/2014,534,57,Inbound,4236104,4236166,Washington St @ Chestnut Hill Ave,13,10,3,,,,,3,
21,3/1/2014,538,57,Inbound,4236104,4236166,Brighton Ave @ Cambridge St,15,10,5,,,,,5,
21,3/1/2014,542,57,Inbound,4236104,4236166,Brighton Ave @ Comm Ave,18,10,8,,,,,8,
21,3/1/2014,547,57,Inbound,4236104,4236166,Commonwealth Ave @ Carlton St,19,10,9,,,,,9,
21,3/1/2014,551,57,Inbound,4236104,4236166,Kenmore Station Busway,19,10,9,,,,,9,
22,3/1/2014,535,57,Inbound,4236166,4236263,Watertown Yard,12,10,2,,,,,2,
22,3/1/2014,536,57,Inbound,4236166,4236263,Washington St @ Bacon St,8,10,-2,,,,,2,
22,3/1/2014,539,57,Inbound,4236166,4236263,Tremont St @ Washington St,8,10,-2,,,,,2,
22,3/1/2014,544,57,Inbound,4236166,4236263,Washington St @ Chestnut Hill Ave,7,10,-3,,,,,3,
22,3/1/2014,548,57,Inbound,4236166,4236263,Brighton Ave @ Cambridge St,6,10,-4,,,,,4,
22,3/1/2014,552,57,Inbound,4236166,4236263,Brighton Ave @ Comm Ave,5,10,-5,,,,,5,
22,3/1/2014,557,57,Inbound,4236166,4236263,Commonwealth Ave @ Carlton St,4,10,-6,,,,,6,
22,3/1/2014,561,57,Inbound,4236166,4236263,Kenmore Station Busway,5,10,-5,,,,,5,
23,3/1/2014,545,57,Inbound,4236263,4236293,Watertown Yard,10,10,0,,,,,0,
23,3/1/2014,546,57,Inbound,4236263,4236293,Washington St @ Bacon St,12,10,2,,,,,2,
23,3/1/2014,549,57,Inbound,4236263,4236293,Tremont St @ Washington St,13,10,3,,,,,3,
23,3/1/2014,554,57,Inbound,4236263,4236293,Washington St @ Chestnut Hill Ave,13,10,3,,,,,3,
23,3/1/2014,558,57,Inbound,4236263,4236293,Brighton Ave @ Cambridge St,14,10,4,,,,,4,
23,3/1/2014,562,57,Inbound,4236263,4236293,Brighton Ave @ Comm Ave,13,11,2,,,,,2,
23,3/1/2014,567,57,Inbound,4236263,4236293,Commonwealth Ave @ Carlton St,14,11,3,,,,,3,
23,3/1/2014,571,57,Inbound,4236263,4236293,Kenmore Station Busway,14,11,3,,,,,3,
24,3/1/2014,555,57,Inbound,4236293,4236339,Watertown Yard,10,10,0,,,,,0,
24,3/1/2014,556,57,Inbound,4236293,4236339,Washington St @ Bacon St,9,10,-1,,,,,1,
24,3/1/2014,559,57,Inbound,4236293,4236339,Tremont St @ Washington St,9,10,-1,,,,,1,
24,3/1/2014,564,57,Inbound,4236293,4236339,Washington St @ Chestnut Hill Ave,7,10,-3,,,,,3,
24,3/1/2014,568,57,Inbound,4236293,4236339,Brighton Ave @ Cambridge St,6,11,-5,,,,,5,
24,3/1/2014,573,57,Inbound,4236293,4236339,Brighton Ave @ Comm Ave,6,11,-5,,,,,5,
24,3/1/2014,578,57,Inbound,4236293,4236339,Commonwealth Ave @ Carlton St,6,11,-5,,,,,5,
24,3/1/2014,582,57,Inbound,4236293,4236339,Kenmore Station Busway,15,11,4,,,,,4,
25,3/1/2014,565,57,Inbound,4236339,4236042,Watertown Yard,21,10,11,,,,,11,
25,3/1/2014,569,57,Inbound,4236339,4236042,Tremont St @ Washington St,18,11,7,,,,,7,
25,3/1/2014,574,57,Inbound,4236339,4236042,Washington St @ Chestnut Hill Ave,20,11,9,,,,,9,
25,3/1/2014,579,57,Inbound,4236339,4236042,Brighton Ave @ Cambridge St,20,11,9,,,,,9,
25,3/1/2014,584,57,Inbound,4236339,4236042,Brighton Ave @ Comm Ave,21,11,10,,,,,10,
25,3/1/2014,589,57,Inbound,4236339,4236042,Commonwealth Ave @ Carlton St,19,11,8,,,,,8,
25,3/1/2014,593,57,Inbound,4236339,4236042,Kenmore Station Busway,9,11,-2,,,,,2,
26,3/1/2014,575,57,Inbound,4236042,4236168,Watertown Yard,16,22,-6,,,,,6,
26,3/1/2014,580,57,Inbound,4236042,4236168,Tremont St @ Washington St,16,22,-6,,,,,6,
26,3/1/2014,585,57,Inbound,4236042,4236168,Washington St @ Chestnut Hill Ave,19,22,-3,,,,,3,
26,3/1/2014,590,57,Inbound,4236042,4236168,Brighton Ave @ Cambridge St,20,22,-2,,,,,2,
26,3/1/2014,595,57,Inbound,4236042,4236168,Brighton Ave @ Comm Ave,18,22,-4,,,,,4,
26,3/1/2014,600,57,Inbound,4236042,4236168,Commonwealth Ave @ Carlton St,22,22,0,,,,,0,
26,3/1/2014,604,57,Inbound,4236042,4236168,Kenmore Station Busway,25,22,3,,,,,3,
27,3/1/2014,612,57,Inbound,4236168,4236106,Brighton Ave @ Cambridge St,-13,-11,-2,,,,,2,
27,3/1/2014,617,57,Inbound,4236168,4236106,Brighton Ave @ Comm Ave,-13,-11,-2,,,,,2,
27,3/1/2014,622,57,Inbound,4236168,4236106,Commonwealth Ave @ Carlton St,-17,-11,-6,,,,,6,
27,3/1/2014,626,57,Inbound,4236168,4236106,Kenmore Station Busway,-20,-11,-9,,,,,9,
28,3/1/2014,601,57,Inbound,4236106,4236215,Brighton Ave @ Cambridge St,17,22,-5,,,,,5,
28,3/1/2014,606,57,Inbound,4236106,4236215,Brighton Ave @ Comm Ave,18,22,-4,,,,,4,
28,3/1/2014,611,57,Inbound,4236106,4236215,Commonwealth Ave @ Carlton St,17,22,-5,,,,,5,
28,3/1/2014,615,57,Inbound,4236106,4236215,Kenmore Station Busway,18,22,-4,,,,,4,
29,3/1/2014,608,57,Inbound,4236215,4236265,Watertown Yard,3,11,-8,,,,,8,
29,3/1/2014,609,57,Inbound,4236215,4236265,Washington St @ Bacon St,12,11,1,,,,,1,
29,3/1/2014,613,57,Inbound,4236215,4236265,Tremont St @ Washington St,11,11,0,,,,,0,
29,3/1/2014,618,57,Inbound,4236215,4236265,Washington St @ Chestnut Hill Ave,12,11,1,,,,,1,
29,3/1/2014,623,57,Inbound,4236215,4236265,Brighton Ave @ Cambridge St,15,11,4,,,,,4,
29,3/1/2014,628,57,Inbound,4236215,4236265,Brighton Ave @ Comm Ave,15,11,4,,,,,4,
29,3/1/2014,633,57,Inbound,4236215,4236265,Commonwealth Ave @ Carlton St,18,11,7,,,,,7,
29,3/1/2014,637,57,Inbound,4236215,4236265,Kenmore Station Busway,17,11,6,,,,,6,
30,3/1/2014,619,57,Inbound,4236265,4236295,Watertown Yard,13,10,3,,,,,3,
30,3/1/2014,620,57,Inbound,4236265,4236295,Washington St @ Bacon St,10,10,0,,,,,0,
30,3/1/2014,624,57,Inbound,4236265,4236295,Tremont St @ Washington St,10,10,0,,,,,0,
30,3/1/2014,629,57,Inbound,4236265,4236295,Washington St @ Chestnut Hill Ave,7,10,-3,,,,,3,
30,3/1/2014,634,57,Inbound,4236265,4236295,Brighton Ave @ Cambridge St,6,10,-4,,,,,4,
30,3/1/2014,639,57,Inbound,4236265,4236295,Brighton Ave @ Comm Ave,6,10,-4,,,,,4,
30,3/1/2014,644,57,Inbound,4236265,4236295,Commonwealth Ave @ Carlton St,3,10,-7,,,,,7,
30,3/1/2014,648,57,Inbound,4236265,4236295,Kenmore Station Busway,3,10,-7,,,,,7,
31,3/1/2014,629,57,Inbound,4236295,4236341,Watertown Yard,15,10,5,,,,,5,
31,3/1/2014,630,57,Inbound,4236295,4236341,Washington St @ Bacon St,12,10,2,,,,,2,
31,3/1/2014,634,57,Inbound,4236295,4236341,Tremont St @ Washington St,13,10,3,,,,,3,
31,3/1/2014,639,57,Inbound,4236295,4236341,Washington St @ Chestnut Hill Ave,14,10,4,,,,,4,
31,3/1/2014,644,57,Inbound,4236295,4236341,Brighton Ave @ Cambridge St,13,10,3,,,,,3,
31,3/1/2014,649,57,Inbound,4236295,4236341,Brighton Ave @ Comm Ave,13,10,3,,,,,3,
