HeadwayId,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
11,3/1/2014,451,23,Inbound,4232986,4233022,Washington St @ Bowdoin St,18,16,2,,,,,2,
11,3/1/2014,454,23,Inbound,4232986,4233022,Washington St @ Columbia Rd,18,16,2,,,,,2,
11,3/1/2014,457,23,Inbound,4232986,4233022,Warren St @ Sunderland St,20,16,4,,,,,4,
11,3/1/2014,459,23,Inbound,4232986,4233022,Warren St @ Quincy St,20,16,4,,,,,4,
11,3/1/2014,463,23,Inbound,4232986,4233022,Warren St @ Moreland St,21,16,5,,,,,5,
11,3/1/2014,465,23,Inbound,4232986,4233022,Dudley Station,22,16,6,,,,,6,
11,3/1/2014,468,23,Inbound,4232986,4233022,Malcolm X Blvd @ Tremont St,22,16,6,,,,,6,
11,3/1/2014,470,23,Inbound,4232986,4233022,Ruggles Sta - Upper Level,22,16,6,,,,,6,
12,3/1/2014,460,23,Inbound,4233022,4233195,Ashmont Station,13,15,-2,,,,,2,
12,3/1/2014,462,23,Inbound,4233022,4233195,Talbot Ave @ Centre St,15,15,0,,,,,0,
12,3/1/2014,467,23,Inbound,4233022,4233195,Washington St @ Bowdoin St,13,15,-2,,,,,2,
12,3/1/2014,470,23,Inbound,4233022,4233195,Washington St @ Columbia Rd,13,15,-2,,,,,2,
12,3/1/2014,473,23,Inbound,4233022,4233195,Warren St @ Sunderland St,11,15,-4,,,,,4,
12,3/1/2014,475,23,Inbound,4233022,4233195,Warren St @ Quincy St,11,15,-4,,,,,4,
12,3/1/2014,479,23,Inbound,4233022,4233195,Warren St @ Moreland St,11,15,-4,,,,,4,
12,3/1/2014,481,23,Inbound,4233022,4233195,Dudley Station,11,15,-4,,,,,4,
12,3/1/2014,484,23,Inbound,4233022,4233195,Malcolm X Blvd @ Tremont St,11,15,-4,,,,,4,
12,3/1/2014,486,23,Inbound,4233022,4233195,Ruggles Sta - Upper Level,10,15,-5,,,,,5,
13,3/1/2014,475,23,Inbound,4233195,4232981,Ashmont Station,15,15,0,,,,,0,
13,3/1/2014,477,23,Inbound,4233195,4232981,Talbot Ave @ Centre St,14,15,-1,,,,,1,
13,3/1/2014,482,23,Inbound,4233195,4232981,Washington St @ Bowdoin St,14,15,-1,,,,,1,
13,3/1/2014,485,23,Inbound,4233195,4232981,Washington St @ Columbia Rd,16,15,1,,,,,1,
13,3/1/2014,488,23,Inbound,4233195,4232981,Warren St @ Sunderland St,16,15,1,,,,,1,
13,3/1/2014,490,23,Inbound,4233195,4232981,Warren St @ Quincy St,17,15,2,,,,,2,
13,3/1/2014,494,23,Inbound,4233195,4232981,Warren St @ Moreland St,19,15,4,,,,,4,
13,3/1/2014,496,23,Inbound,4233195,4232981,Dudley Station,19,15,4,,,,,4,
13,3/1/2014,499,23,Inbound,4233195,4232981,Malcolm X Blvd @ Tremont St,20,15,5,,,,,5,
13,3/1/2014,501,23,Inbound,4233195,4232981,Ruggles Sta - Upper Level,20,15,5,,,,,5,
14,3/1/2014,490,23,Inbound,4232981,4232988,Ashmont Station,13,15,-2,,,,,2,
14,3/1/2014,492,23,Inbound,4232981,4232988,Talbot Ave @ Centre St,14,15,-1,,,,,1,
14,3/1/2014,497,23,Inbound,4232981,4232988,Washington St @ Bowdoin St,13,15,-2,,,,,2,
14,3/1/2014,500,23,Inbound,4232981,4232988,Washington St @ Columbia Rd,12,15,-3,,,,,3,
14,3/1/2014,503,23,Inbound,4232981,4232988,Warren St @ Sunderland St,11,15,-4,,,,,4,
14,3/1/2014,505,23,Inbound,4232981,4232988,Warren St @ Quincy St,11,15,-4,,,,,4,
14,3/1/2014,509,23,Inbound,4232981,4232988,Warren St @ Moreland St,10,15,-5,,,,,5,
14,3/1/2014,511,23,Inbound,4232981,4232988,Dudley Station,10,15,-5,,,,,5,
14,3/1/2014,514,23,Inbound,4232981,4232988,Malcolm X Blvd @ Tremont St,10,15,-5,,,,,5,
14,3/1/2014,516,23,Inbound,4232981,4232988,Ruggles Sta - Upper Level,10,15,-5,,,,,5,
15,3/1/2014,505,23,Inbound,4232988,4233024,Ashmont Station,25,15,10,,,,,10,
15,3/1/2014,507,23,Inbound,4232988,4233024,Talbot Ave @ Centre St,24,15,9,,,,,9,
