stop_name,time,headway
Warren St @ Crawford St,756,-11
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,760,-10
Blue Hill Ave @ Angell St,764,-10
Blue Hill Ave @ Morton St,769,-10
Blue Hill Ave @ Wellington Hill St,771,-11
Mattapan Station - South Busway,779,-11
Ruggles Station - Lane 1,750,-2
Malcolm X Blvd @ King St,753,1
Dudley Station,758,0
Warren St @ Dabney Pl,760,4
Warren St @ Townsend St,765,4
Warren St @ Crawford St,767,5
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,771,5
Blue Hill Ave @ Angell St,775,5
Blue Hill Ave @ Morton St,780,7
Blue Hill Ave @ Wellington Hill St,782,6
Mattapan Station - South Busway,790,8
Ruggles Station - Lane 1,761,6
Malcolm X Blvd @ King St,764,6
Dudley Station,769,8
Warren St @ Dabney Pl,771,6
Warren St @ Townsend St,776,6
Warren St @ Crawford St,778,5
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,782,7
Blue Hill Ave @ Angell St,786,7
Blue Hill Ave @ Morton St,791,7
Blue Hill Ave @ Wellington Hill St,793,8
Mattapan Station - South Busway,801,8
Ruggles Station - Lane 1,772,0
Malcolm X Blvd @ King St,775,-3
Dudley Station,780,2
Warren St @ Dabney Pl,782,4
Warren St @ Townsend St,787,5
Warren St @ Crawford St,789,5
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,793,2
Blue Hill Ave @ Angell St,797,2
Blue Hill Ave @ Morton St,802,5
Blue Hill Ave @ Wellington Hill St,804,4
Mattapan Station - South Busway,812,6
Ruggles Station - Lane 1,783,-6
Malcolm X Blvd @ King St,786,2
Dudley Station,791,-2
Warren St @ Dabney Pl,793,-6
Warren St @ Townsend St,798,-8
Warren St @ Crawford St,800,-7
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,804,-8
Blue Hill Ave @ Angell St,808,-7
Blue Hill Ave @ Morton St,813,-11
Blue Hill Ave @ Wellington Hill St,815,-9
Mattapan Station - South Busway,823,-12
Ruggles Station - Lane 1,794,13
Malcolm X Blvd @ King St,797,5
Dudley Station,802,4
Warren St @ Dabney Pl,804,5
Warren St @ Townsend St,809,6
Warren St @ Crawford St,811,7
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,815,8
Blue Hill Ave @ Angell St,819,7
Blue Hill Ave @ Morton St,824,8
Blue Hill Ave @ Wellington Hill St,826,6
Mattapan Station - South Busway,834,10
Ruggles Station - Lane 1,805,-10
Malcolm X Blvd @ King St,808,-9
Dudley Station,813,-9
