Headway: {HeadwayId: long,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
25,3/1/2014,608,28,Inbound,4200417,4200489,Warren St @ Sunderland St,13,11,2
25,3/1/2014,611,28,Inbound,4200417,4200489,Warren St @ Quincy St,12,11,1
25,3/1/2014,614,28,Inbound,4200417,4200489,Warren St @ Moreland St,11,11,0
25,3/1/2014,618,28,Inbound,4200417,4200489,Dudley Station,11,11,0
25,3/1/2014,621,28,Inbound,4200417,4200489,Malcolm X Blvd @ Tremont St,10,11,-1
25,3/1/2014,623,28,Inbound,4200417,4200489,Ruggles Sta - Upper Level,10,11,-1
26,3/1/2014,601,28,Inbound,4200489,4199511,Mattapan Station - South Busway,10,11,-1
26,3/1/2014,605,28,Inbound,4200489,4199511,Blue Hill Ave @ Fessenden St,10,11,-1
26,3/1/2014,607,28,Inbound,4200489,4199511,Blue Hill Ave @ Morton St,9,11,-2
26,3/1/2014,612,28,Inbound,4200489,4199511,Blue Hill Ave @ Talbot Ave,9,11,-2
26,3/1/2014,616,28,Inbound,4200489,4199511,Blue Hill Ave @ Ellington St - Franklin Park Zoo,8,11,-3
26,3/1/2014,619,28,Inbound,4200489,4199511,Warren St @ Sunderland St,9,11,-2
26,3/1/2014,622,28,Inbound,4200489,4199511,Warren St @ Quincy St,8,11,-3
26,3/1/2014,625,28,Inbound,4200489,4199511,Warren St @ Moreland St,9,11,-2
26,3/1/2014,629,28,Inbound,4200489,4199511,Dudley Station,8,11,-3
26,3/1/2014,632,28,Inbound,4200489,4199511,Malcolm X Blvd @ Tremont St,9,11,-2
26,3/1/2014,634,28,Inbound,4200489,4199511,Ruggles Sta - Upper Level,10,11,-1
27,3/1/2014,612,28,Inbound,4199511,4199551,Mattapan Station - South Busway,2,11,-9
27,3/1/2014,616,28,Inbound,4199511,4199551,Blue Hill Ave @ Fessenden St,11,11,0
