Headway: {HeadwayId: long,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
23,3/1/2014,642,32,Outbound,4211167,4211419,807 Hyde Park Ave opp American Legion Hwy,12,12,0
23,3/1/2014,644,32,Outbound,4211167,4211419,Hyde Park Ave @ Greenwood Ave,14,12,2
23,3/1/2014,646,32,Outbound,4211167,4211419,Hyde Park Ave @ Grant Place,15,12,3
23,3/1/2014,652,32,Outbound,4211167,4211419,Hyde Park Ave @ Wolcott Square,17,13,4
24,3/1/2014,648,32,Outbound,4211419,4211185,Forest Hills Station Lower Busway,15,12,3
24,3/1/2014,652,32,Outbound,4211419,4211185,Hyde Park Ave @ Cummins Hwy,16,12,4
24,3/1/2014,654,32,Outbound,4211419,4211185,807 Hyde Park Ave opp American Legion Hwy,17,12,5
24,3/1/2014,656,32,Outbound,4211419,4211185,Hyde Park Ave @ Greenwood Ave,17,12,5
24,3/1/2014,658,32,Outbound,4211419,4211185,Hyde Park Ave @ Grant Place,16,13,3
24,3/1/2014,665,32,Outbound,4211419,4211185,Hyde Park Ave @ Wolcott Square,15,13,2
25,3/1/2014,660,32,Outbound,4211185,4211235,Forest Hills Station Lower Busway,16,12,4
25,3/1/2014,664,32,Outbound,4211185,4211235,Hyde Park Ave @ Cummins Hwy,15,12,3
25,3/1/2014,666,32,Outbound,4211185,4211235,807 Hyde Park Ave opp American Legion Hwy,15,12,3
25,3/1/2014,668,32,Outbound,4211185,4211235,Hyde Park Ave @ Greenwood Ave,15,12,3
25,3/1/2014,671,32,Outbound,4211185,4211235,Hyde Park Ave @ Grant Place,15,12,3
25,3/1/2014,678,32,Outbound,4211185,4211235,Hyde Park Ave @ Wolcott Square,14,12,2
26,3/1/2014,676,32,Outbound,4211235,4215021,Hyde Park Ave @ Cummins Hwy,8,12,-4
26,3/1/2014,678,32,Outbound,4211235,4215021,807 Hyde Park Ave opp American Legion Hwy,7,12,-5
26,3/1/2014,680,32,Outbound,4211235,4215021,Hyde Park Ave @ Greenwood Ave,5,12,-7
26,3/1/2014,683,32,Outbound,4211235,4215021,Hyde Park Ave @ Grant Place,6,12,-6
26,3/1/2014,690,32,Outbound,4211235,4215021,Hyde Park Ave @ Wolcott Square,5,12,-7
27,3/1/2014,688,32,Outbound,4215021,4211421,Hyde Park Ave @ Cummins Hwy,10,12,-2
27,3/1/2014,690,32,Outbound,4215021,4211421,807 Hyde Park Ave opp American Legion Hwy,10,12,-2
27,3/1/2014,692,32,Outbound,4215021,4211421,Hyde Park Ave @ Greenwood Ave,13,12,1
27,3/1/2014,695,32,Outbound,4215021,4211421,Hyde Park Ave @ Grant Place,12,12,0
27,3/1/2014,702,32,Outbound,4215021,4211421,Hyde Park Ave @ Wolcott Square,15,12,3
28,3/1/2014,696,32,Outbound,4211421,4210004,Forest Hills Station Lower Busway,13,12,1
28,3/1/2014,700,32,Outbound,4211421,4210004,Hyde Park Ave @ Cummins Hwy,12,12,0
28,3/1/2014,702,32,Outbound,4211421,4210004,807 Hyde Park Ave opp American Legion Hwy,12,12,0
28,3/1/2014,704,32,Outbound,4211421,4210004,Hyde Park Ave @ Greenwood Ave,12,12,0
28,3/1/2014,707,32,Outbound,4211421,4210004,Hyde Park Ave @ Grant Place,11,12,-1
28,3/1/2014,714,32,Outbound,4211421,4210004,Hyde Park Ave @ Wolcott Square,10,12,-2
29,3/1/2014,708,32,Outbound,4210004,4211237,Forest Hills Station Lower Busway,15,12,3
29,3/1/2014,712,32,Outbound,4210004,4211237,Hyde Park Ave @ Cummins Hwy,20,12,8
29,3/1/2014,714,32,Outbound,4210004,4211237,807 Hyde Park Ave opp American Legion Hwy,20,12,8
29,3/1/2014,716,32,Outbound,4210004,4211237,Hyde Park Ave @ Greenwood Ave,19,12,7
29,3/1/2014,719,32,Outbound,4210004,4211237,Hyde Park Ave @ Grant Place,21,12,9
29,3/1/2014,726,32,Outbound,4210004,4211237,Hyde Park Ave @ Wolcott Square,21,12,9
30,3/1/2014,720,32,Outbound,4211237,4215023,Forest Hills Station Lower Busway,8,12,-4
30,3/1/2014,724,32,Outbound,4211237,4215023,Hyde Park Ave @ Cummins Hwy,4,12,-8
30,3/1/2014,726,32,Outbound,4211237,4215023,807 Hyde Park Ave opp American Legion Hwy,4,12,-8
30,3/1/2014,728,32,Outbound,4211237,4215023,Hyde Park Ave @ Greenwood Ave,3,12,-9
30,3/1/2014,731,32,Outbound,4211237,4215023,Hyde Park Ave @ Grant Place,2,12,-10
30,3/1/2014,738,32,Outbound,4211237,4215023,Hyde Park Ave @ Wolcott Square,3,12,-9
31,3/1/2014,732,32,Outbound,4215023,4211431,Forest Hills Station Lower Busway,27,12,15
31,3/1/2014,736,32,Outbound,4215023,4211431,Hyde Park Ave @ Cummins Hwy,26,12,14
31,3/1/2014,738,32,Outbound,4215023,4211431,807 Hyde Park Ave opp American Legion Hwy,26,12,14
31,3/1/2014,740,32,Outbound,4215023,4211431,Hyde Park Ave @ Greenwood Ave,25,12,13
31,3/1/2014,743,32,Outbound,4215023,4211431,Hyde Park Ave @ Grant Place,29,12,17
31,3/1/2014,750,32,Outbound,4215023,4211431,Hyde Park Ave @ Wolcott Square,28,12,16
32,3/1/2014,744,32,Outbound,4211431,4209881,Forest Hills Station Lower Busway,-15,12,-27
32,3/1/2014,748,32,Outbound,4211431,4209881,Hyde Park Ave @ Cummins Hwy,-7,13,-20
32,3/1/2014,750,32,Outbound,4211431,4209881,807 Hyde Park Ave opp American Legion Hwy,-8,13,-21
32,3/1/2014,752,32,Outbound,4211431,4209881,Hyde Park Ave @ Greenwood Ave,-6,13,-19
32,3/1/2014,755,32,Outbound,4211431,4209881,Hyde Park Ave @ Grant Place,-6,13,-19
32,3/1/2014,762,32,Outbound,4211431,4209881,Hyde Park Ave @ Wolcott Square,-6,13,-19
33,3/1/2014,756,32,Outbound,4209881,4211425,Forest Hills Station Lower Busway,24,12,12
33,3/1/2014,761,32,Outbound,4209881,4211425,Hyde Park Ave @ Cummins Hwy,21,12,9
33,3/1/2014,763,32,Outbound,4209881,4211425,807 Hyde Park Ave opp American Legion Hwy,21,12,9
33,3/1/2014,765,32,Outbound,4209881,4211425,Hyde Park Ave @ Greenwood Ave,21,12,9
33,3/1/2014,768,32,Outbound,4209881,4211425,Hyde Park Ave @ Grant Place,20,12,8
