Headway: {HeadwayId: long,ServiceDate,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
36,3/1/2014,684,57,Inbound,4236170,4236217,Tremont St @ Washington St,10,10,0
36,3/1/2014,691,57,Inbound,4236170,4236217,Washington St @ Chestnut Hill Ave,6,10,-4
36,3/1/2014,696,57,Inbound,4236170,4236217,Brighton Ave @ Cambridge St,4,10,-6
36,3/1/2014,703,57,Inbound,4236170,4236217,Brighton Ave @ Comm Ave,4,10,-6
36,3/1/2014,709,57,Inbound,4236170,4236217,Commonwealth Ave @ Carlton St,2,10,-8
36,3/1/2014,713,57,Inbound,4236170,4236217,Kenmore Station Busway,1,10,-9
37,3/1/2014,688,57,Inbound,4236217,4236267,Watertown Yard,13,10,3
37,3/1/2014,690,57,Inbound,4236217,4236267,Washington St @ Bacon St,4,10,-6
37,3/1/2014,694,57,Inbound,4236217,4236267,Tremont St @ Washington St,4,10,-6
37,3/1/2014,701,57,Inbound,4236217,4236267,Washington St @ Chestnut Hill Ave,4,10,-6
37,3/1/2014,706,57,Inbound,4236217,4236267,Brighton Ave @ Cambridge St,4,10,-6
37,3/1/2014,713,57,Inbound,4236217,4236267,Brighton Ave @ Comm Ave,4,10,-6
37,3/1/2014,719,57,Inbound,4236217,4236267,Commonwealth Ave @ Carlton St,5,10,-5
37,3/1/2014,723,57,Inbound,4236217,4236267,Kenmore Station Busway,5,10,-5
38,3/1/2014,698,57,Inbound,4236267,4236297,Watertown Yard,20,10,10
38,3/1/2014,700,57,Inbound,4236267,4236297,Washington St @ Bacon St,14,10,4
38,3/1/2014,704,57,Inbound,4236267,4236297,Tremont St @ Washington St,15,10,5
38,3/1/2014,711,57,Inbound,4236267,4236297,Washington St @ Chestnut Hill Ave,15,10,5
38,3/1/2014,716,57,Inbound,4236267,4236297,Brighton Ave @ Cambridge St,19,10,9
38,3/1/2014,723,57,Inbound,4236267,4236297,Brighton Ave @ Comm Ave,19,10,9
38,3/1/2014,729,57,Inbound,4236267,4236297,Commonwealth Ave @ Carlton St,18,10,8
38,3/1/2014,733,57,Inbound,4236267,4236297,Kenmore Station Busway,20,10,10
39,3/1/2014,708,57,Inbound,4236297,4236343,Watertown Yard,3,10,-7
